Key,Dutch(nl),English(en),French(fr),German(de)
Codex_Content_Infection,"Een infectie is het binnendringen van een onzichtbaar micro-organisme (bacteriën, virussen) in het lichaam en de daaropvolgende vermeerdering ervan. Dit kan een gezondheidsprobleem veroorzaken. Een verhoogde bezinkingssnelheid van de erytrocyten (BSE) kan een teken zijn van ontsteking of infectie.","Infection is the penetration and proliferation in the body of a micro-organism invisible (e .g. bacteria, virus), likely to cause a health problem. An elevated sedimentation rate (ESR) could be a sign of inflammation or infection.","L'infection est la pénétration et prolifération dans le corps d'un micro-organisme invisible à l'œil nu (bactérie, virus), susceptible de provoquer un problème de santé. Une vitesse de sédimentation élevée (VS) pourrait être signe d'une inflammation ou d'une infection.","Eine Infektion ist das Eindringen eines unsichtbaren Mikroorganismus (z. B. Bakterien, Viren) in den Körper und deren Vermehrung. Dies kann ein Gesundheitsproblem verursachen. Infektionen oder Entzündungen führen in der Regel zu erhöhten Resultaten bei der Messung der Blutsenkungsgeschwindigkeit (ESR)."
Codex_Content_UTI,"Een urineweginfectie is een infectie van de urinewegen die veroorzaakt kan worden door bacteriën. In de meeste gevallen gaan deze infecties gepaard met de aanwezigheid van witte bloedcellen in de urine. Als er te veel witte bloedcellen zijn, kan dit duiden op een urineweginfectie, die veroorzaakt kan worden door bacteriën of microscopische schimmels. Sommige bacteriën produceren nitriet. Ze kunnen worden gedetecteerd met behulp van multistix, omdat hun aanwezigheid leidt tot een roze kleuring van het nitrietveld. Maar in dit geval is het nitriet negatief.","Urinary tract infection is an infection of the urinary tract that can be caused by bacteria. In most cases these infections are accompanied by the presence of white blood cells in urine. When there are too many of them, this can indicate a urinary tract infection, which may be caused by bacteria or microscopic fungi. Some bacteria produce nitrite. They can be detected by multistix as their presence leads to pink coloring of the nitrite field. But here in this case, the nitrite is negative.","L'infection urinaire est une infection des voies urinaires qui peut être causée par des bactéries. Dans la plupart des cas, ces infections s'accompagnent de la présence de globules blancs dans l'urine. Lorsqu'ils sont trop nombreux, cela peut indiquer une infection des voies urinaires, qui peut être causée par des bactéries ou des champignons microscopiques. Certaines bactéries produisent du nitrite. Ils peuvent être détectés par multistix car leur présence entraîne une coloration rose sur la bandelette. Dans ce cas, le nitrite est négatif.","Eine Harnwegsinfektion ist eine durch Mikroorganismen verursachte Infektion der Harnwege. Bei einer Infektion können in der Regel weiße Blutkörperchen (Leukozyten) im Urin nachgewiesen werden. Sind zu viele von ihnen vorhanden, liegt häufig eine Harnwegsinfektion vor, die z. B. durch Bakterien oder mikroskopisch kleine Pilze verursacht werden kann. Manche Bakterien können Nitrit produzieren. Sind sie im Urin vorhanden, verfärbt sich das Nitritfeld rosa bis pink. In diesem Fall ist das Nitrit negativ."
Codex_Content_Inflammation,"Ontsteking is de verdedigingsreactie van het lichaam op infectie of weefselschade. Ontsteking kan roodheid, pijn, warmte en soms zwelling op de plaats van infectie veroorzaken. De bezinkingssnelheid van rode bloedcellen (BSE) is een marker van ontsteking: deze neemt toe bij ontsteking.","Inflammation is the body's defence reaction to infection or tissue damage. Inflammation can cause redness, pain, heat and sometimes swelling at the site. The sedimentation rate (ESR) of red blood cells is a marker of inflammation: it  increases when there is inflammation.","L'inflammation est une réaction de défense de l'organisme face à une infection ou une lésion des tissus. Une inflammation peut entraîner une rougeur, une douleur, une sensation de chaleur et, parfois, un gonflement à l'endroit où elle se produit. La vitesse de sédimentation (VS) des globules rouges est un marqueur d'inflammation: il est augmenté en cas d'inflammation.","Eine Entzündung ist die Abwehrreaktion des Körpers auf eine Infektion oder Gewebeschädigung. Eine Entzündung kann Rötungen, Schmerzen, Hitze und manchmal Schwellungen an der betroffenen Stelle verursachen. Ein Marker für das Vorliegen einer Entzündung ist die Blutsenkungsgeschwindigkeit (ESR) der roten Blutkörperchen: In der Regel steigt sie an, wenn eine Entzündung vorliegt."
Codex_Content_Dehydration,"Uitdroging is een gevaarlijk verlies van lichaamsvloeistoffen veroorzaakt door ziekte, zweten of onvoldoende waterinname. Een verhoogd hematocriet (HCT) niveau kan worden gevonden bij mensen die uitgedroogd zijn (vals verhoogd hemoglobine), dat weer normaal wordt na rehydratatie.","Dehydration is a dangerous loss of body fluid caused by e.g. illness, sweating or inadequate water intake. An elevated haematocite (HCT) level may be found in people who experience dehydration, which will return to normal with rehydration.","La déshydratation est une dangereuse perte de fluide corporel provoquée par une maladie, la transpiration ou des apports hydriques insuffisants. Un taux d’hématocrite (HCT) élevé peut-être retrouvé chez les personnes qui  subissent une déshydratation (hémoglobine faussement élevé) qui revient à la normale en cas de réhydratation.","Dehydratation ist ein gefährlicher Verlust von Körperflüssigkeit, der z. B. durch Krankheit, Schwitzen oder unzureichende Wasseraufnahme verursacht wird. Bei Menschen, die dehydriert sind, kann ein erhöhter Hämatokritspiegel (HCT) festgestellt werden, der sich bei Rehydratation wieder normalisiert."
Codex_Content_Liver_Disease,"Leverziekte omvat elke ziekte die wordt gekenmerkt door schade aan de lever waardoor deze niet normaal kan functioneren. De aanwezigheid van bilirubine (BIL) duidt op obstructie van de galstroom of hepatitis (A, B, C veroorzaakt door een virus).","Liver disease includes any disease that is characterised by damage to the liver that prevents it from functioning normally. The presence of bilirubin (BIL) indicates e. g. obstruction of the bile flow, or hepatitis (A, B, C caused by a virus).","Les maladies hépatiques comprennent toute maladie qui se caractérise par une lésion du foie l'empêchant de fonctionner normalement. La présence de bilirubine (BIL) signe une obstruction du flux biliaire, ou une hépatite (A, B, C causé par un virus).","Bei Lebererkrankungen liegt eine Schädigung der Leber vor, die ihre normale Funktion beeinträchtigt. Der Nachweis von Bilirubin im Harn (BIL) kann z. B. auf eine  Obstruktion des Gallenflusses oder eine durch Viren verursachte Leberentzündung (Hepatitis) hinweisen."
Codex_Content_Polycythaemia,Personen met polycytemie hebben meestal een verhoogd aantal witte en rode bloedcellen en ook bloedplaatjes. Verder zal het hematocriet (HT) en hemoglobinegehalte (HB) hoog zijn in het bloed.,Persons with Polycythaemia usually have an increased number of white and red blood cells and platelets. Also hematocrit (HT) and hemoglobin (HB) will be high in blood.,Les personnes atteintes de polycythémie ont généralement un nombre élevé de globules blancs et rouges et de plaquettes. L'hématocrite (HT) et l'hémoglobine (HB) seront également élevés dans le sang.,"Die Polyzythämie führt in der Regel zu einem Anstieg aller Blutzellen, sowie zu einem Anstieg des Hämatokrits und der Hämoglobinkonzentration. "
Codex_Content_Leukemia,Leukemie is een type bloedkanker. Het kan ervoor zorgen dat de witte bloedcellen (WBC's) niet goed functioneren en de balans van cellen in het bloed beïnvloeden.,Leukemia is a type of blood cancer. It can cause the white blood cells (WBCs) to function incorrectly and affect the balance of cells in the blood.,La leucémie est un type de cancer du sang. Cela peut entraîner un dysfonctionnement des globules blancs (WBC) et affecter l'équilibre des cellules dans le sang.,"Leukämie ist eine Form von Blutkrebs. Sie kann dazu führen, dass die weißen Blutkörperchen (WBC) nicht mehr richtig funktionieren und das Gleichgewicht der Zellen im Blut beeinträchtigen."
Codex_Content_Neutropenic_Sepsis,"Neutropene sepsis is een reactie van het hele lichaam op een infectie. Het is een ernstige aandoening die levensbedreigend kan zijn. Het kan voorkomen wanneer je tegelijkertijd een lage neutrofielengehalte en een infectie hebt. Er zijn verschillende soorten witte bloedcellen, waarvan neutrofielen er één zijn. Als hun aantal te laag is, heet dat neutropenie.",Neutropenic sepsis is a whole-body reaction to an infection. It's a serious condition that can be life-threatening. It can happen when you have a low level of neutrophils and an infection at the same time. There are different types of WBC populations. One of them are the neutrophile granulocytes. If their number is too low it is called neutropenia.,"La septicémie neutropénique est une réaction systémique dû à une infection qui peut être mortelle. Cela peut arriver lorsque le taux de neutrophiles est bas et qu'une infection est présente simultanément. Il y a différentes populations cellulaires de globules blancs dont les neutrophiles font parties. Si leur nombre est trop bas, on parle de neutropénie.","Die neutropenische Sepsis ist eine Reaktion des gesamten Körpers auf eine Infektion. Es handelt sich um einen ernsten Zustand, der lebensbedrohlich sein kann. Sie kann auftreten, wenn die Zahl der neutrophilen Granulozyten niedrig ist und gleichzeitig eine Infektion vorliegt. (Erklärung des Begriffs Neutropenie: Es gibt verschiedene Typen (Subpopulationen) von Leukozyten. Eine Subpopulation stellen die neutrophilen Granulozyten dar. Ein Mangel an diesen Zellen wird als Neutropenie bezeichnet.)"
FirstCase_Mail_Content,"Beste meneer/mevrouw,||Ik stuur deze e-mail om u op de hoogte te brengen van de resultaten van Bernie Russo's CBC-test. De hertest toont een vervalsing van het hemoglobinegehalte van de patiënt aan. Hij heeft een abnormaal laag hemoglobinegehalte, wat wijst op een vermoedelijke anemie. De waarden waren hoger dan gemiddeld bij de vorige analyse. De patiënt heeft daarom niet de nodige capaciteit om te werken in de bouw op de planeet Mars en we hebben bewijs dat deze test is vervalst. ||Met vriendelijke groet,","Dear Sir/Madam,||I am sending this email to inform you about the results of Bernie Russo's CBC test. The retest shows a falsification of the patient's hemoglobin level. He has abnormally low value of hemoglobin, suggesting a suspected anemia. The values were higher than average in the previous analysis. The patient therefore does not have the necessary capacity to work in construction on the planet Mars and we have proof that this test was falsified. ||Kind regards,","Madame, Monsieur, ||Je vous envoie cet e-mail pour vous informer des résultats CBC de Bernie Russo. Le nouveau test montre une falsification du taux d'hémoglobine du patient. Il a une valeur anormalement basse d'hémoglobine, suggérant une suspicion d'anémie. Les valeurs étaient supérieures à la moyenne lors de l'analyse précédente. Le patient n'a donc pas la capacité nécessaire pour travailler dans la construction sur la planète Mars et nous avons la preuve que ce test a été falsifié. ||Salutations distinguées,","Sehr geehrte Damen und Herren,||Ich sende Ihnen diese E-Mail, um Sie über die Ergebnisse der Blutbildanalyse von Bernie Russo zu informieren. Der Hämoglobinspiegel des Patienten ist erniedrigt, dies deutet auf eine Anämie hin. Bei der vorherigen Analyse lagen die Werte im Normbereich. Der Verdacht, dass die erste Analyse gefälscht war, hat sich bestätigt. Die Ursache des niedrigen Hämoglobinwertes muss auf der Erde abgeklärt werden. Bernie Russo kann nicht an der Marsmission teilnehmen! ||Mit freundlichen Grüßen,"
SecondCase_Mail_Content,"Beste meneer/mevrouw,||Ik stuur u deze e-mail om u te informeren over de CBC-resultaten van Aureliano Foguinho. De test toont aan dat de bloed samenstelling van de heer Aureliano Foguinho volledig normaal is. Er is dus geen belemmering voor de validatie van zijn overdracht.||Met vriendelijke groet,","Dear Sir/Madam,||I am sending you this email to inform you about Aureliano Foguinho's CBC results. The test shows that the blood composition of Mr Aureliano Foguinho is completely normal. There is therefore no obstacle to the validation of his transfer. ||Kind regards,","Madame, Monsieur,||Je vous envoie cet e-mail pour vous informer des résultats CBC d'Aureliano Foguinho. L'analyse montre que la composition sanguine est tout à fait normale. Il n'y a donc aucun obstacle à la validation de son transfert. ||Salutations distinguées,","Sehr geehrte Damen und Herren,||Ich sende Ihnen diese E-Mail, um Sie über die Ergebnisse der Blutbild-Analyse von Aureliano Foguinho zu informieren. Die Blutzusammensetzung ist als normal zu bewerten. Somit steht dem Transfer und der Zulassung zur Mars-League nichts im Wege.||Mit freundlichen Grüßen,"
ThirdCase_Mail_Content,"Beste meneer/mevrouw,||Ik stuur u deze e-mail om u te informeren over de resultaten van de CBC-analyse van Julia Balmont. De tweede test leidt tot een sterk vermoeden van vervalsing van het monster van de patiënt. Daarom vraag ik verder onderzoek om de specifieke oorzaken van de abnormale waarden die in de resultaten van de tweede test zijn onthuld, te bepalen. De multistix-test suggereert dat het glucosegehalte van de patiënt veel te hoog is om te voldoen aan de verwachte normen voor een astronautenbaan. Dit doet me vermoeden dat de patiënt mogelijk diabetes heeft.||Met vriendelijke groet,","Dear Sir/Madam,||I am sending you this email to inform you about the results of the CBC analysis of Julia Balmont. The second test leads to strong suspicion of falsification of the patient's sample. I am therefore requesting further investigation to determine the specific causes of the abnormal values revealed in the second CBC test results. The multistix test suggests that the patient's glucose level is far too high to meet the standards expected for an astronaut's job. It leads me to suspect possible diabetes in the patient. ||Kind regards,","Madame, Monsieur,||Je vous envoie cet e-mail pour vous informer des résultats CBC de Julia Balmont. Le deuxième test conduit à une forte suspicion de falsification de l'échantillon de la patiente. Je demande donc un complément d'enquête pour déterminer les causes spécifiques des valeurs anormales révélées dans les résultats du deuxième test. Le test multistix suggère que le niveau de glucose du patient est beaucoup trop élevé pour répondre aux normes attendues pour le travail d'un astronaute. Cela m'amène à suspecter la possibilité d'un diabète chez le patient. ||Salutations distinguées,","Sehr geehrte Damen und Herren,||Ich sende Ihnen diese E-Mail, um Sie über die Ergebnisse der CBC-Analyse von Julia Balmont zu informieren. Das Ergebnis der Blutbildanalyse legt den dringenden Verdacht nahe, dass es sich um Betrug handelt oder die Patientin nicht gesund ist. Das Ergebnis des Multistix-Urintestes deutet darauf hin, dass Julia Balmont an Diabetes leiden könnte, dies muss durch weitere Untersuchungen abgeklärt werden. Aufgrund unserer Messresultate ist eine Tätigkeit als Astronautin und Teilnahme an der Marsmission zum jetzigen Zeitpunkt leider ausgeschlossen.||Mit freundlichen Grüßen,"
Console_Menu_Automaton_Button,Automaat,Automaton,Automate,Automat
Console_Menu_Status_Button,Status,Status,Statut,Status
Console_Menu_Analysis_Button,Analyse,Analysis,Analyse,Analyse
Console_Menu_Reagents_Label,Reagentia,Reagents,Réactifs,Reagenzien
Console_Menu_Control_Label,Controle,Control,Contrôle,Kontrolle
Console_Menu_Level_Label,Niveau's OK,Levels ok,Niveau ok,Level ok
Console_Menu_Check_Label,Controle vereist,Check needed,Contrôle nécessaire,Check notwendig
Console_Menu_Calibration_Label,Kalibratie,Calibration,Calibration,Kalibrierung
Console_Menu_Codex_Button,Codex,Codex,Codex,Codex
Console_Menu_Patient_Button,Patiënt,Patient,Patient,Patient*in
Console_Menu_Validation_Button,Validatie,Validation,Validation,Validierung
Codex_Analysis_Type_Hematology,Hematologieanalyse,Hematology Analysis,Analyse hématologique,Hämatologische Analyse
Codex_Analysis_Type_Microscope,Microscoopanalyse,Microscope Analysis,Analyse au microscope,Mikroskopische Analyse
Codex_Analysis_Type_Multistix,Multistixanalyse,Multistix Analysis,Analyse Multistix,Multistix Analyse
Codex_Blood_Parameter_Volume,Volume,Volume,Volume,Volumen
Codex_Blood_Parameter_Platelets,Bloedplaatjes,Platelets,Plaquettes,Blutplättchen
Codex_Blood_Parameter_Basophils,Basofielen,Basophils,Basophiles,Basophile
Codex_Blood_Parameter_Neutrophils,Neutrofielen,Neutrophils,Neutrophiles,Neutrophile
Codex_Blood_Parameter_Eosinophils,Eosinofielen,Eosinophils,Eosinophiles,Eosinophile
Codex_Blood_Parameter_Lymphocytes,Lymfocyten,Lymphocytes,Lymphocytes,Lymphozyten
Codex_Blood_Parameter_Monocytes,Monocyten,Monocytes,Monocytes,Monozyten
Codex_Urine_Parameter_Nitrite,Nitriet,Nitrite,Nitrite,Nitrit
Codex_Urine_Parameter_Blood,Bloed,Blood,Sang,Blut
Codex_Urine_Parameter_Gravity,Soortelijk gewicht,Specific gravity,Gravité spécifique,spezifische Dichte
Codex_Urine_Parameter_Ketone,Ketonen,Ketone,Cétone,Ketone
Codex_Urine_Parameter_Glucose,Glucose,Glucose,Glucose,Glukose
Console_Menu_Selected_Button,Geselecteerde valideren,Validate Selected,Valider la sélection,Auswahl bestätigen
Console_Menu_Healthy_Button,Gezonde patiënt,Healthy Patient,Patient en bonne santé,Gesunde*r Patient*in
Input_Field_Preview,Tekst invoeren,Enter text,Saisir le texte,Text eingeben
Codex_Content_Title_Anemia,Bloedarmoede,Anemia,Anémie,Anämie
Codex_Content_Title_Diabetes,Diabetes,Diabetes,Diabète,Diabetes
Codex_Content_Title_Infection,Infectie,Infection,Infection,Infektion
Codex_Content_Title_UTI,Urineweginfectie,Urinary tract infection,Infection urinaire,Harnwegsinfektion
Codex_Content_Title_Inflammation,Ontsteking,Inflammation,Inflammation,Entzündung
Codex_Content_Title_Dehydration,Uitdroging,Dehydration,Déshydratation,Dehydration
Codex_Content_Title_Liver_Disease,Leverziekte,Liver disease,Maladies hépatiques,Lebererkrankungen
Codex_Content_Title_Polycythaemia,Polycytemie,Polycythaemia,Polycythémie,Polyzythämie
Codex_Content_Title_Leukemia,Leukemie,Leukemia,Leucémie,Leukämie
Codex_Content_Title_Neutropenic_Sepsis,Neutropene sepsis,Neutropenic sepsis,Septicémie neutropénique,Neutropenische sepsis
Mail_Send_Button,Verstuur,Send,Envoyer,Stuur
Automaton_Button_Control,Verificatie Controle,Check Control,Vérification contrôle,Verificatie Controle
Automaton_Button_CBC,CBC Analyse,CBC Analysis,Analyse CBC,CBC Analyse
SecondCase_Poster_Disease_Normal,Normale rode bloedcellen,Normal red blood cells,Globules rouges normaux,Normale rote Blutkörperchen
SecondCase_Poster_Disease_Sickle,Sikkelcelanemie,Sickle cell anemia,Anémie drépanocytaire,Sichelzellenanämie
SecondCase_Poster_Disease_Anulocytes,Anulocyten (dunnere cellen),Anulocytes (thinner cells),Anulocytes (cellules plus fines),Anulozyten (dünnere Zellen)
SecondCase_Poster_Disease_Malaria,Malaria parasiet,Malaria parasite,Parasite de la malaria,Malariaparasit
SecondCase_Stainbox_Status_Processing,Verwerking ...,Processing …,Traitement ...,Behandlung ...
SecondCase_Stainbox_Status_Ready,Klaar,Ready,Prêt,Bereit
SecondCase_Stainbox_Status_Waiting,Wachten op objectglas,Waiting for glass slide,Attente d'une lame de verre,Warten auf einen Objektträger
SecondCase_Stainbox_Button_Start,Kleuring starten,Start staining process,Démarrer le processus de coloration,Starten Sie den Färbeprozess
