French
Conversation ID,Entry ID,Actor,Original Text,Translated Text [French],Original Menu,Translated Menu [French],Description
4,26,Robot,What is a strange human like you doing in this abandoned laboratory with a beautiful robot like me?,Qu’est-ce qu’un drôle d’humain comme toi vient faire dans ce laboratoire abandonné avec un beau robot comme moi ?,,,
4,27,Player,My name is [var=Actor]. I have just been hired by the government secret service.,Je m’appelle [var=Actor]. je viens d’être engagé par les services secrets gouvernementaux.,,,
4,28,Player,"The authorities are convinced that the local mafia, led by Edith Balmont, is falsifying tests, and my job is to use this laboratory to prove it.","Les autorités sont persuadées que la mafia locale, dirigée par Edith Balmont, falsifie des tests, mon rôle est d’utiliser ce laboratoire pour le prouver.",,,
4,29,Player,"I will then be able to claim a place on the ship for Mars and take my little sister with me, who does not currently has priority for boarding.","Je pourrai alors prétendre à une place dans le vaisseau pour mars et y emmener ma petite sœur, qui n’est pour l’instant pas prioritaire pour l’embarquement.",,,
4,30,Robot,It's been 10 years since my last entry in the register! And the lab is completely filthy!,Ça fait 10 ans depuis la dernière entrée de mon registre ! Et le laboratoire est complètement crasseux !,,,
4,31,Robot,You can't do a good job under these conditions...,On ne saurait pas faire du bon boulot dans ces conditions…,,,
4,32,Robot,"Here, push that button on the door to open it.",Appuie sur la porte pour l'ouvrir.,,,
4,33,Robot,,,,,
5,0,Robot,,,,,
5,1,Robot,"This is the locker room, this is where you have to get your PPE or personal protective equipment.","Voici le vestiaire, c’est ici que tu dois t’équiper des EPI ou équipement de protection individuel.",,,
5,2,Robot,"Before you go into the lab, take this locker here, I'll turn around, tell me when you're done!","Avant d’entrer au labo, prends ce casier, je vais me retourner, dis-moi quand tu as fini !",,,
5,3,Robot,,,,,
5,4,Robot,"All right, let's go to the reception!","Très bien, allons vers la réception !",,,
6,0,Player,,,,,
6,1,Player,"Oh perfect, it's exactly my size!","Ah parfait, c’est pile ma taille !",,,
7,0,Player,,,,,
7,1,Robot,This is where we will receive the blood samples.,c’est ici que nous recevrons les échantillons sanguins.,,,
7,2,Robot,The first step to remember is to scan the sample code.,"La première étape à ne jamais oublier, c’est de scanner le code de l’échantillon.",,,
7,3,Robot,"After that, we can go to the laboratory.","Après cela, on peut aller au laboratoire.",,,
7,4,Robot,Do you have any questions?,Tu as des questions ?,,,
7,8,Robot,"Okay, I see you've got it all figured out so follow me into the lab!","Ok, je vois que tu as tout compris donc suis moi dans le laboratoire !",,,
7,9,Quizz,Errrr,Euh,,,
7,10,Quizz,Uhhhh,Boh,,,
8,0,Player,,,,,
8,1,Robot,This is the haematology laboratory. Usually you will be able to check the tests to be performed on this computer.,Ici c’est le laboratoire d’hématologie. Tu pourras vérifier les analyses à opérer sur cet ordinateur.,,,
8,3,Robot,"You can do CBCs, bloodcount, etc. (list of all analyses on the computer screen).","Tu peux faire des analyses CBC, bloodcount, etc.",,,
8,4,Robot,I will also introduce you to the different types of automatons and their functionality.,Je vais aussi te présenter les différents types d’automates et leurs fonctionnalités.,,,
8,5,Robot,"By clicking on it, you will see the name of the machine and the types of analysis it performs.","En cliquant dessus, tu visualiseras le nom de l’automate et les types d’analyses qu’il réalise.",,,
8,6,Robot,"Before performing the test, you may need to mix or blend the tube (the pre-analysis manual will help you).","Avant de réaliser le test, il faut parfois mixer ou mélanger le tube.",,,
8,7,Robot,"A ""control tube"" should always be placed in the automaton to ensure that it is working properly.",Il faut toujours placer un « tube contrôle » dans l’automate afin de s’assurer de son bon fonctionnement.,,,
8,8,Robot,"When this is done, the sample is placed in the machine and all values are checked for compliance.\n","Lorsque cette opération est réalisée, on place l’échantillon dans l’automate et vérifie que toutes les valeurs sont conformes.",,,
8,9,Robot,Let's continue to the archives!,Continuons vers les archives !,,,
9,0,Player,,,,,
9,1,Robot,"There are refrigerators that keep samples at different temperatures. For example, this one is at a temperature of 36 °C.","Il y a des frigos qui maintiennent les échantillons à des températures différentes. Par exemple, celui-ci est à une température de 36° .",,,
9,2,Robot,"I know, it's weird for a fridge, don't put your yoghurt in there.","Je sais, c’est bizarre pour un frigo, ne mets pas tes yaourts dedans.",,,
9,3,Robot,"The right fridge must be chosen when placing a patient sample in it. For example, a control tube does not fit in the same fridge as a blood tube.","Il faut choisir le bon frigo quand on y place un échantillon. Par exemple, le tube de contrôle ne se place pas dans le même frigo qu’un tube de sang.",,,
9,4,Robot,"By hovering over the fridges with the mouse, you will get the necessary information: their temperature, but also the type of samples they can hold.","En survolant les frigos avec la souris, tu obtiendras les informations nécessaires : leur température, mais aussi le type d’échantillons qu’ils sont susceptibles d’accueillir.",,,
9,5,Robot,Let's move on to the offices.,"Bon, passons maintenant aux bureaux.",,,
9,6,Robot,"Welcome to the archive room. As the name suggests, this is where we will archive and store all the samples we analyse.","Bienvenue dans la salle des archives. Comme son nom l’indique, c’est ici que l’on va archiver et stocker tous les échantillons analysés.",,,
9,8,Robot,"Here, push that button on the door to open it.",Appuie sur la porte pour l'ouvrir.,,,
10,0,Player,,,,,
10,1,Robot,"Personally, this is my favourite room, I love computers. But at the same time, I am a computer!","Personnellement, c’est ma pièce préférée, j’adore les ordinateurs. Mais en même temps, je suis un ordinateur !",,,
10,2,Robot,Let me try my old logins.,"Attends, j’essaie mes anciens logins.",,,
10,3,Robot,"Ah, they're not smart, they haven't renewed the passwords for over 10 years.","Ah ils ne sont pas malins ceux-là, ils n’ont pas renouvelé les mots de passe depuis plus de 10 ans.",,,
10,4,Robot,"Password: 0000. That's it, I'm connected to the GOV.BLOOD database.","Mot de passe : 0000. Ça y est, je suis connecté à la base de données GOV.BLOOD.",,,
10,5,Robot,I'm ordering all the suspect samples to be analysed for the secret service. They will be delivered tomorrow.,Je commande tous les échantillons suspects à analyser pour les services secrets.,,,
10,6,Robot,"And finally, let's visit the dormitory!","Et enfin pour terminer, visitons le dortoir !",,,
10,7,Robot,"Here, push that button on the door to open it.",Appuie sur la porte pour l'ouvrir.,,,
10,8,Robot,This is where you can report test results and enter them into the government database.,C’est ici que tu pourras communiquer les résultats de tests et les encoder dans la base de données gouvernementales.,,,
11,0,Player,,,,,
11,1,Robot,That's what this place is for.,C’est à ça que sert cet endroit.,,,
11,2,Robot,"You put yourself in a horizontal position and close your eyes, at least that's what the old workers in the lab did and it seemed to work...","Tu te mets en position horizontale et tu fermes les yeux, c’est en tout cas ce que faisaient les anciens technologue de laboratoire et ça avait l’air de fonctionner…",,,
11,3,Robot,"You have a telephone at your disposal, if you want to call a relative, and a television, if you want to keep up to date with the news.","Tu as à ta disposition un téléphone et une télévision, si tu veux t’informer sur l’actualité.",,,
11,4,Robot,"Unfortunately, they no longer show my favourite show, Robot Chef, in which the robot that cooks best is judged.","Malheureusement, ils ne passent plus mon émission préférée, Robot Chef , dans laquelle on évalue le robot qui cuisine le mieux.",,,
11,5,Robot,"While you rest and get settled, I'll start cleaning the lab.","Pendant que tu te reposes et que tu t’installes, je vais commencer à nettoyer le laboratoire.",,,
11,6,Robot,Good night and see you tomorrow my friend!,Bonne nuit et à demain mon ami !,,,
11,7,Robot,"After a good day's work, it seems that you humans need a rest.","Après une bonne journée de travail, il semblerait que vous, les humains, vous ayez besoin de repos.",,,
11,8,Robot,"Here, push that button on the door to open it.",Appuie sur la porte pour l'ouvrir.,,,
12,0,Robot,"Stay in your room, I'm shy and I don't like people watching me clean!","Reste dans ta chambre, je suis timide et je n’aime pas qu’on me regarde nettoyer !",,,
14,0,Player,,,,,
14,6,Player,"Hi little sister, how are you?","Salut petite sœur, tu vas bien ?",,,
14,7,Lilou,[Unintelligible noises].,[Bruits incompréhensibles],,,
14,8,Lilou,[Unintelligible noises].,[Bruits incompréhensibles],,,
14,9,Player,Does Auntie look after you well?,Est-ce que tata s’occupe bien de toi ?,,,
14,10,Player,Kisses and take care of yourself.,Bisous et prends soin de toi.,,,
15,0,Robot,,,,,
15,1,Robot,"Stay in your room, I'm shy and I don't like people watching me clean!","Reste dans ta chambre, je suis timide et je n’aime pas qu’on me regarde nettoyer !",,,
16,0,Player,,,,,
16,1,Player,I should call Lilou before I go to sleep,Je devrais appeler Lilou avant de dormir,,,
16,2,Player,Let's see the news of the day on TV,Voyons les informations du jour à la télé,,,
16,3,Player,Sleep,Dormir,,,
17,0,TV,,,,,
17,1,TV,news of the day,informations du jour,,,
17,2,TV,"Weather forecast, it will rain over the whole of the Benelux today. The usual seasonal autumnal gusts of 100 to 150 km/h are expected during the afternoon.","Météo, il pleuvra sur l'ensemble du Benelux aujourd'hui. Des rafales automnales saisonnières habituelles, de 100 à 150 km/h, sont à prévoir dans le courant de l'après-midi.",,,
17,3,TV,"A haematological programme set up by the European Union to test those who will be selected to work on the Red Planet.""",“Un programme hématologique mis en place par l'Union Européenne pour tester ceux qui seront sélectionnés pour travailler sur le planète rouge.”,,,
18,0,Robot,,,,,
18,1,Robot,"Did you sleep well, princess?",Bien dormi princesse ?,,,
18,2,Player,Grmphff…,Grmphff…,,,
18,3,Robot,"I spent the night cleaning the lab, you could almost eat off the floor!","J’ai passé la nuit à nettoyer le laboratoire, on pourrait manger par terre !",,,
18,4,Robot,"I'm going to show you how it all works, but I need some blood to analyse and the samples haven't arrived yet.",Je vais te montrer comment tout fonctionne mais pour ça il me faut du sang à analyser et les échantillons ne sont pas encore arrivés.,,,
18,5,Robot,I'll take just a little bit if you don't mind.,Je vais t’en prendre juste un tout petit peu.,,,
18,6,Player,Excuse me!?,Pardon !?,,,
18,7,Robot,"Don't worry it won't be painful, and it will allow me to ask you some questions to check that you are qualified.","Ne t’inquiète pas ce ne sera pas douloureux, et ça me permettra de te poser quelques questions pour vérifier que tu es qualifié.",,,
18,8,Robot,Follow me into the laboratory!,Suis moi dans le laboratoire !,,,
18,9,Player,"All right, I'm coming.","Très bien, j’arrive..",,,
19,0,TV,,,,,
19,5,TV,News of the day:,Informations du jour :,,,
19,6,TV,"Another ecological disaster in Germany. A tornado hit the city of Aachen and swept away three bell towers, including that of its famous cathedral.","Nouvelle catastrophe écologique en Allemagne. Une tornade frappe la Ville d’Aachen et emporte trois clochers, dont celui de sa célèbre cathédrale.",,,
19,7,TV,The famous businesswoman Judith Balmont pledges one million euros to restore the monument.,"La célèbre femme d’affaire Judith Balmont, fait un promesse de don d’un million d’euros pour restaurer le monument.",,,
20,0,Robot,,,,,
20,1,Player,"Don't forget to dress up, it's mandatory in the lab!","Attention, n’oublie pas de te mettre en tenue, c’est obligatoire dans le labo!",,,
21,0,Robot,,,,,
21,1,Robot,"First of all, we need to choose the right tube for our analysis.","Avant toute chose, il faut choisir le bon tube pour notre analyse.",,,
21,2,Robot,"Here we will do a haematological analysis to count your blood cells, CBC for short.","Ici, on va faire une analyse hématologique pour compter tes cellules sanguines, CBC pour faire court.",,,
21,3,Robot,"This means that a blood test will be done to measure red and white blood cells, but also your blood platelets.","Cela veut dire qu’on va faire un test sanguin qui va mesurer les globules rouges et blancs, mais aussi les plaquettes de sang.",,,
21,4,Robot,"Choose the right tube on the table, you can help yourself with the poster/manual.","Choisis le bon tube sur la table, tu peux t’aider avec l’affiche/manuel.",,,
21,5,Robot,This is a tube containing EDTA (Ethylen-Diamin-Tetra-Acetate) fluid.,Il s’agit d’un tube contenant un fluide EDTA (Ethylen-Diamin-Tetra-Acetat).,,,
21,6,Robot,"This fluid stabilises the blood cells and prevents the blood from clotting, which is necessary for our CBC analysis.","Ce fluide permet de stabiliser les cellules sanguines et empêche le sang de coaguler, ce qui est nécessaire pour notre analyse CBC.",,,
21,7,Robot,I'll tell you how I operate now.,Je vais t’expliquer comment je procède maintenant.,,,
21,8,Robot,"After clearing your arm, I disinfect the area of the sting.","Après avoir dégagé ton bras, je noue le garrot.",,,
21,9,Robot,I tie the tourniquet.,Je désinfecte la zone de la piqure.,,,
21,10,Robot,I insert the needle and fill the sample.,Je pique et je remplis l’échantillon.,,,
21,11,Robot,I release the tourniquet.,Je relâche le garrot.,,,
21,12,Robot,I take the needle out.,Je retire l’aiguille.,,,
21,13,Robot,And there you have it. Now I gently swirl the tube to avoid coagulation.,"Et voilà, c'est fait ! Je fais tourner doucement le tube pour éviter la coagulation.",,,
21,14,Robot,"You see it wasn't so bad, now I'm going to ask you some questions about what you saw.","Tu vois ce n’était pas si terrible, je vais maintenant te poser quelques questions sur ce que tu as vu.",,,
21,15,Robot,That's the one.,C’est bien celui-ci.,,,
21,16,Robot,"This is not the right tube, it was the one with the purple cap.","Ce n’est pas le bon tube, c’était celui avec le bouchon violet.",,,
22,0,Robot,,,,,
22,1,Robot,\>What equipement is necessary for blood taking (9 answers expected)?,\>Quels équipements sont nécessaires pour la prise de sang (9 réponses attendues) ?,,,
22,2,Quizz,Gloves,Gants,,,
22,3,Quizz,Desinfectant,Désinfectant,,,
22,4,Quizz,Single use butterfly needle,Aiguille,,,
22,5,Quizz,Tourniquet,Garrot,,,
22,6,Quizz,Swab,Compresses,,,
22,7,Quizz,Sample tubes,Tubes d'échantillons,,,
22,8,Quizz,Trash bin,Poubelle à aiguille,,,
22,9,Quizz,Labels,Etiquettes,,,
22,10,Quizz,Plaster,Pansement,,,
22,11,Quizz,NaCl (salt),NaCl (sel),,,
22,12,Quizz,Chronometer,Chronomètre,,,
22,15,Quizz,[em3]Gloves,[em3]Gants,,,
22,16,Quizz,[em3]Desinfectant,[em3]Désinfectant,,,
22,17,Quizz,[em3]Single use butterfly needle,[em3]Aiguille papillon à usage unique,,,
22,18,Quizz,[em3]Tourniquet,[em3]Garrot,,,
22,19,Quizz,[em3]Swab,[em3]Compresses,,,
22,20,Quizz,[em3]Sample tubes,[em3]Tubes d'échantillons,,,
22,21,Quizz,[em3]Trash bin,[em3]Poubelle,,,
22,22,Quizz,[em3]Labels,[em3]Etiquettes,,,
22,23,Quizz,[em3]Bandage,[em3]Pansement,,,
22,24,Quizz,[em3]NaCl (salt),[em3]NaCl (sel),,,
22,25,Quizz,[em3]Chronometer,[em3]Chronomètre,,,
22,26,Quizz,[em4]Validate,[em4]Valider,,,
22,27,Robot,Wrong answers sorry,"Désolé, ce n'est pas correct. Pour une prise de sang tu as besoin de gants, de désinfectant, d'une aiguille, d'un garrot, de compresses, de tubes déchantillons, d'une poubelle à aiguille, des étiquettes et de pansements.",,,
22,28,Robot,Good job!,Bravo !,,,
22,29,Robot,,,,,
23,0,Robot,,,,,
23,1,Robot,\>What is the correct sequence for a blood test?,\>Quelle est la bonne séquence pour une prise de sang ?,,,
23,27,Robot,Wrong answers sorry,"Désolé, ce ne sont pas les bonnes réponses",,,
23,28,Robot,Good job!,Bravo !,,,
23,29,Robot,,,,,
23,31,Quizz,Disinfect,Désinfecter,,,
23,32,Quizz,Tying the tourniquet,Remplir l’échantillon,,,
23,33,Quizz,Tying the tourniquet,Nouer le tourniquet,,,
23,34,Quizz,Release the tourniquet,Relâcher le tourniquet,,,
23,35,Quizz,Withdraw the needle,Retirer l’aiguille,,,
24,0,Robot,,,,,
24,1,Robot,\>Some sample tubes contain additives to prevent clotting. What is the additive for a CBC analysis (1 answer expected)?\n,\>Certains tubes d’échantillons contiennent des additifs pour empêcher la coagulation. Quel est l’additif pour une analyse CBC (1 réponse attendue) ?,,,
24,2,Quizz,Citrate,Citrate,,,
24,3,Quizz,Heparin,Héparine,,,
24,4,Quizz,EDTA,EDTA,,,
24,5,Quizz,NaCl,NaCl,,,
24,15,Quizz,[em3]Citrate,[em3]Citrate,,,
24,16,Quizz,[em3]Heparin,[em3]Héparine,,,
24,17,Quizz,[em3]EDTA,[em3]EDTA,,,
24,18,Quizz,[em3]NaCl,[em3]NaCl,,,
24,26,Quizz,[em4]Validate,[em4]Valider,,,
24,27,Robot,Wrong answers sorry,"Désolé, ce n'est pas correct. L'additif pour empêcher la coagulation est l'EDTA.",,,
24,28,Robot,Good job !,Bravo !,,,
24,29,Quizz,Ethanol,Ethanol,,,
24,30,Quizz,[em3]Ethanol,[em3]Ethanol,,,
24,31,Robot,,,,,
25,0,Robot,,,,,
25,1,Robot,\>What cells do we find in human blood (3 answers expected)?,\>Quelles cellules trouvons-nous dans le sang humain (3 réponses attendues) ?,,,
25,2,Quizz,Astrocytes,Astrocytes,,,
25,3,Quizz,Blue blood cells,Globules bleus,,,
25,4,Quizz,Platelets,Plaquettes,,,
25,5,Quizz,Red blood cells,Globules rouges,,,
25,15,Quizz,[em3]Astrocytes,[em3]Astrocytes,,,
25,16,Quizz,[em3]Blue blood cells,[em3]Globules bleus,,,
25,17,Quizz,[em3]Platelets,[em3]Plaquettes,,,
25,18,Quizz,[em3]Red blood cells,[em3]Globules rouges,,,
25,26,Quizz,[em4]Validate,[em4]Valider,,,
25,27,Robot,Wrong answers sorry,"Désolé, ce ne sont pas les bonnes réponses. Les cellules du sang humains sont les globules rouges, blancs et les plaquettes.",,,
25,28,Robot,Good job!,Bravo !,,,
25,29,Quizz,White blood cells,Globules blancs,,,
25,30,Quizz,[em3]White blood cells,[em3]Globules blancs,,,
25,31,Robot,,,,,
26,0,Robot,,,,,
26,1,Robot,"\>Just before performing the CBC analysis, the EDTA tube should be gently mixed several times, true or false?","\>Juste avant de faire l’analyse CBC, le tube EDTA doit être mélangé doucement plusieurs fois, vrai ou faux ?",,,
26,26,Quizz,True,Vrai,,,
26,27,Robot,Wrong answers sorry,"Désolé, ce n'est pas la bonne réponse",,,
26,28,Robot,Good job !,Bravo !,,,
26,29,Quizz,False,Faux,,,
26,30,Robot,,,,,
27,0,Robot,,,,,
27,1,Robot,"Alright, we'll move on to the automaton.","Très bien, on va pouvoir passer sur l’automate.",,,
27,2,Robot,"First of all, the automaton must be well prepared.","Avant toute chose, l’automate doit être bien préparé.",,,
27,3,Robot,Check reagent levels on the screen and i'll give you the control sample.,Il faut vérifier les niveaux de réactifs sur l'écran puis je vais te donner l’échantillon de contrôle.,,,
27,4,Robot,"Here is the control sample, place it on the automaton rack and launch the control process","Voici l'échantillon de contrôle, met le dans le rack de l'automate et lance le processus de contrôle",,,
27,5,Robot,Now replace the control sample with the blood sample,Maintenant remplace l’échantillon de contrôle par celui de sang,,,
27,6,Robot,Now you can start the CBC analysis,Maintenant tu peux lancer l'analyse CBC,,,
27,7,Robot,You can check the results on the screen next to it in the Analysis tab,Tu peux voir les résultats sur l'écran près de l'automate dans l'onglet Analysis,,,
27,8,Robot,"Everything seems to be in order, none of the parameters are outside the normal values, they would be displayed in red if they were.","Tout semble être en ordre, aucun des paramètres n'est en dehors des valeurs normales, elles seraient colorées en rouge si c'était le cas.",,,
27,9,Robot,"Before we finish, I have one more question for you.","Avant de terminer, j'ai une dernière question pour toi.",,,
27,10,Robot,"I've retrieved the sample from the automaton, here take it.","J'ai récupéré l'échantillon de l'automate, tiens prends le.",,,
28,0,Robot,,,,,
28,32,Robot,\>What is the role of haemoglobin in human red blood cells (1 answer expected)?,\>Quel est le rôle de l'hémoglobine dans les globules rouges humains (1 réponse attendue)?,,,
28,33,Quizz,Immunosuppression,Immunosuppression,,,
28,34,Quizz,Oxygen supply,Apport d'oxygène,,,
28,35,Quizz,Starting coagulation,Débuter la coagulation,,,
28,36,Quizz,Prevent blood vessels from calcifying,Empecher les vaisseaux sanguins de se calcifier,,,
28,37,Quizz,[em3]Immunosuppression,[em3]Astrocytes,,,
28,38,Quizz,[em3]Oxygen supply,[em3]Apport d'oxygène,,,
28,39,Quizz,[em3]Starting coagulation,[em3]Débuter la coagulation,,,
28,40,Quizz,[em3]Prevent blood vessels from calcifying,[em3]Empecher les vaisseaux sanguins de se calcifier,,,
28,41,Quizz,[em4]Validate,[em4]Valider,,,
28,42,Robot,Wrong answers sorry,"Désolé, ce n'est pas la bonne réponse, L'hémoglobine sert à apporter l'oxygène.",,,
28,43,Robot,Good job !,Bravo !,,,
28,44,Quizz,Hydrogen bonding,Liaisons d'hydrogène,,,
28,45,Quizz,[em3]Hydrogen bonding,[em3]Liaisons d'hydrogène,,,
28,46,Robot,,,,,
29,0,Robot,,,,,
29,1,Robot,"Good, you have done a good job, all that is left to do is to archive the blood sample and control sample.","Bien, tu as fait tu bon travail, tout ce qu'il reste à faire est d'archiver l'échantillon de sang et de contrôle.",,,
29,2,Robot,Follow me!,Par ici !,Over here !,,
29,3,Robot,You can put the blood sample into the left fridge and the control sample into the right fridge.,Tu peux mettre l'échantillon de sang dans le réfrigérateur de gauche et l'échantillon de contrôle d'étalonnage dans le réfrigérateur de droite.,,,
29,4,Robot,Excellent work!,Excellent travail !,,,
29,5,Robot,"The samples should arrive in 2 hours, you can go and rest in your room until then, I will come and get you.","Les échantillons devraient bientôt arriver, tu peux aller te reposer dans ta chambre en attendant, je viendrai te chercher.",,,
29,6,Robot,Don't forget to put back your PPE in the locker !,N'oublie pas de remettre ton EPI dans le casier !,,,
30,0,Robot,,,,,
30,4,Player,Sleep,Dormir,,,
30,5,Player,Let's look at today's TV news,Voyons les informations du jour à la télé,,,
30,6,Player,I need to put back my PPE in the locker before sleeping.,Je dois remettre mon EPI dans le casier avant de dormir.,,,
31,0,Robot,,,,,
31,1,Robot,Did you sleep well?,Bien dormi ?,,,
31,2,Player,Grmphff...,Grmphff...,,,
31,3,Robot,We have just received our first suspect sample.,Nous avons reçu notre premier échantillion suspect.,,,
31,4,Robot,"The European government is sending it to us, because it comes from the Luttastricht laboratory, which is apparently under the control of the mafia.","Le gouvernement européen nous l'envoie car il provient du laboratoire de Luttastricht, qui est apparemment sous le contrôle de la mafia.",,,
31,5,Robot,They would like us to do a new haematological analysis.,Ils voudraient que nous fassions une nouvelle analyse hématologique.,,,
31,6,Player,"Ok, I'm coming, just time to wake up!","Ok, j'arrive, juste le temps de se réveiller !",,,
31,7,Robot,"Don't dawdle, we have work to do. And don't forget your labcoat, I'm waiting for you in the reception room..","Ne traîne pas, nous avons du travail. Et n'oublie pas ta tenue, je t'attends dans la salle de réception...",,,
31,8,Player,"All right, I'm coming.","D'accord, j'arrive.",,,
32,0,Robot,,,,,
32,1,Robot,"Be careful, don't forget to put your labcoat on, it's compulsory in the lab!","Attention, n'oublie pas de mettre ton équipement, c'est obligatoire dans le laboratoire !",,,
33,0,Robot,,,,,
33,1,Robot,"Here, take the sample on the counter","Tiens, prends l'échantillon sur le comptoir.",,,
33,2,Robot,"This is the sample of Bernie Russo. According to the information in my database, he is a 35-year-old man who wants to go to Mars to work in construction.","Voici l'échantillon de Bernie Russo. Selon les informations de ma base de données, c'est un homme de 35 ans qui veut aller sur Mars pour travailler dans la construction.",,,
33,3,Player,Why might the sample be falsified?,Pourquoi l'échantillon pourrait-il être falsifié ?,,,
33,4,Robot,"As I told you, it comes from a suspected laboratory.","Comme je te l'ai dit, il provient d'un laboratoire suspect.",,,
33,5,Robot,"Moreover, Mr Russo is said to be the personal driver of Edith Balmont, the woman suspected by the secret service of being the head of the local mafia.","De plus, M. Russo serait le chauffeur personnel d'Edith Balmont, la femme soupçonnée par les services secrets d'être à la tête de la mafia locale.",,,
33,6,Robot,"In order to ensure its suitability for use, we will need to perform a haematological analysis and check its haemoglobin level.","Afin de s'assurer de son aptitude à l'emploi, nous devrons effectuer une analyse hématologique et vérifier son taux d'hémoglobine.",,,
33,7,Robot,"This is a measurement of the red blood cells in your blood, which carry oxygen from your lungs to your organs.","Il s'agit d'une mesure des globules rouges dans le sang, qui transportent l'oxygène des poumons vers les organes.",,,
33,8,Robot,"If you have a low hemoglobin level you often feel tired and exhausted. For example, cyclists who use EPO increase their haemoglobin levels to improve their performance.","Un faible taux d'hémoglobine se traduit souvent par une sensation de fatigue et d'épuisement. Par exemple, les cyclistes qui utilisent de l'EPO augmentent leur taux d'hémoglobine pour améliorer leurs performances.",,,
33,9,Robot,"I talk too much, I know I'm a chatty robot but I haven't talked to anyone in 10 years! Let's go to the lab for the analysis.","Je parle trop, je sais que je suis un robot bavard mais je n'ai parlé à personne depuis 10 ans ! Allons au laboratoire pour l'analyse.",,,
33,10,Robot,Now scan the sample barcode by dragging it on the scanner screen !,"Maintenant, scanne le code-barres de l'échantillon en le faisant glisser sur l'écran du scanner !",,,
33,11,Robot,Then click the screen to see information about the sample.,Clique ensuite sur l'écran pour voir les informations sur l'échantillon.,,,
34,0,Robot,,,,,
34,1,Robot,"Before starting the analysis in the automaton, the tube must be prepared.","Avant de commencer l'analyse dans l'automate, le tube doit être préparé.",,,
34,2,Robot,"If you don't know how to do this, you can use the preparation manual!","Si tu ne sais pas comment faire, tu peux utiliser le manuel de préparation !",,,
34,3,Robot,Right click on the tube in your inventory to perform the required action,Fais un clic droit sur le tube dans l'inventaire pour effectuer l'action requise.,,,
34,4,Robot,Well done! Now let's move on to the analysis of the automaton.,Bien joué ! Passons maintenant à l'analyse de l'automate.,,,
34,5,Robot,"Careful, you'll ruin the sample! We must not make mistakes!","Attention, tu vas endommager l'échantillon ! Nous ne devons pas faire d'erreur !",,,
34,6,Robot,You need to mix the sample very gently so the blood is homogenous inside the sample.,Il faut mélanger l'échantillon très doucement pour que le sang soit homogène à l'intérieur de l'échantillon.,,,
34,7,Robot,Now you know the procedure to get the automaton ready.,"Désormais, tu dois connaître la procédure pour préparer l'automate.",,,
34,8,Robot,Don't forget to check the reagent levels.,N'oublie pas de vérifier le niveau des réactifs.,,,
34,9,Robot,"It's annoying, I know. But thoroughness and precision are crucial in a medical technologist's job.",La minutie et la précision sont cruciales dans le travail du technologue médical.,,,
34,10,Robot,"I'm watching you, try to do the various operations of the analysis on your own!","Je t'observe, essaie de faire les différentes opérations de l'analyse par toi-même !",,,
34,11,Robot,"Great job ! Let's check the results now, we are looking for abnormal values.","Bon travail ! Vérifions les résultats maintenant, nous recherchons des valeurs anormales.",,,
34,12,Robot,"There is definitively something wrong, navigate to the codex and try to find a disease that coincides with the values.","Il y a définitivement quelque chose qui ne va pas, navigue dans le codex et essaye de trouver une maladie qui coïncide avec les valeurs.",,,
34,13,Robot,"Once you are confident with your choice, put the disease into the validation tab in the codex.","Une fois que tu es sûr de ton choix, saisis la maladie dans l'onglet de validation du codex.",,,
