German
Conversation ID,Entry ID,Actor,Original Text,Translated Text [German],Original Menu,Translated Menu [German],Description
4,26,Robot,What is a strange human like you doing in this abandoned laboratory with a beautiful robot like me?,Was macht ein seltsamer Mensch wie du in diesem verlassenen Labor mit einem schönen Roboter wie mir?,,,
4,27,Player,My name is [var=Actor]. I have just been hired by the government secret service.,Mein Name ist [var=Actor]. Ich bin gerade vom Geheimdienst der Regierung angeheuert worden.,,,
4,28,Player,"The authorities are convinced that the local mafia, led by Edith Balmont, is falsifying tests, and my job is to use this laboratory to prove it.","Die Behörden sind davon überzeugt, dass die örtliche Mafia, angeführt von Edith Balmont, Tests fälscht! Meine Aufgabe ist es Labortests durchzuführen, um das zu beweisen.",,,
4,29,Player,"I will then be able to claim a place on the ship for Mars and take my little sister with me, who does not currently has priority for boarding.","Dann bekomme ich für meine kleine Schwester Lilou und mich einen Platz auf dem Raumschiff zum Mars! Sie hat momentan leider keinen Vorrang, um an Board zu gehen.",,,
4,30,Robot,It's been 10 years since my last entry in the register! And the lab is completely filthy!,Mein letzter Eintrag im Logbuch ist schon 10 Jahre her! Und das Labor ist total verschmutzt!,,,
4,31,Robot,You can't do a good job under these conditions...,Unter diesen Bedingungen kann man keine gute Arbeit leisten...,,,
4,32,Robot,"Here, push that button on the door to open it.","Drück den Knopf hier an der Tür, um sie zu öffnen.",,,
4,33,Robot,,,,,
5,0,Robot,,,,,
5,1,Robot,"This is the locker room, this is where you have to get your PPE or personal protective equipment.","Das ist der Umkleideraum, hier musst du deine PSA, also persönliche Schutzausrüstung bzw. Schutzkleidung, holen.",,,
5,2,Robot,"Before you go into the lab, take this locker here, I'll turn around, tell me when you're done!","Hier im Spind ist deine Schutzkleidung. Zieh sie an, ich drehe mich weg. Sag mir, wenn du fertig bist!",,,
5,3,Robot,,,,,
5,4,Robot,"All right, let's go to the reception!","Alles klar, gehen wir zur Probenannahme!",,,
6,0,Player,,,,,
6,1,Player,"Oh perfect, it's exactly my size!","Oh perfekt, es ist genau meine Größe!",,,
7,0,Player,,,,,
7,1,Robot,This is where we will receive the blood samples.,Hier ist die Probenannahme.,,,
7,2,Robot,The first step to remember is to scan the sample code.,"Der erste Schritt, den du dir merken musst, ist das Einscannen des Proben-Barcodes.",,,
7,3,Robot,"After that, we can go to the laboratory.",Danach können wir ins Labor gehen,,,
7,4,Robot,Do you have any questions?,Hast du noch Fragen?,,,
7,8,Robot,"Okay, I see you've got it all figured out so follow me into the lab!","Okay, ich sehe, du hast alles verstanden, also komm mit mir ins Labor!",,,
7,9,Quizz,Errrr,Errrr,,,
7,10,Quizz,Uhhhh,Uhhhh,,,
8,0,Player,,,,,
8,1,Robot,This is the haematology laboratory. Usually you will be able to check the tests to be performed on this computer.,Dies ist das hämatologische Labor. Die Analysen werden hier auf dem Computer angezeigt.,,,
8,3,Robot,"You can do CBCs, bloodcount, etc. (list of all analyses on the computer screen).","Auf dem PC-Bildschirm werden sowohl das Blutbild, als auch andere eventuell notwendige Analysen angezeigt. (Liste aller Analysen auf dem Computerbildschirm).",,,
8,4,Robot,I will also introduce you to the different types of automatons and their functionality.,Ich werde dir auch verschiedene Automaten und ihre Funktionen vorstellen.,,,
8,5,Robot,"By clicking on it, you will see the name of the machine and the types of analysis it performs.","Wenn du darauf klickst siehst du den Namen des Geräts und die Analysen, die man damit durchführen kann.",,,
8,6,Robot,"Before performing the test, you may need to mix or blend the tube (the pre-analysis manual will help you).","Bevor du den Test durchführst, musst du das Röhrchen vorsichtig mischen. (Das Handbuch zur Voranalyse hilft dir dabei).",,,
8,7,Robot,"A ""control tube"" should always be placed in the automaton to ensure that it is working properly."," Es sollte immer ein ""Kontrollröhrchen"" in den Automaten gestellt werden, um sicherzustellen, dass korrekt gemessen wird.",,,
8,8,Robot,"When this is done, the sample is placed in the machine and all values are checked for compliance.\n","Wenn dies geschehen ist, wird die Probe in den Automaten gestellt und alle Werte werden auf ihre Übereinstimmung überprüft.\n",,,
8,9,Robot,Let's continue to the archives!,Weiter geht's zum Archiv!,,,
9,0,Player,,,,,
9,1,Robot,"There are refrigerators that keep samples at different temperatures. For example, this one is at a temperature of 36 °C.","Es gibt Schränke, die Proben bei unterschiedlichen Temperaturen aufbewahren, hier zum Beispiel bei 36 °C.",,,
9,2,Robot,"I know, it's weird for a fridge, don't put your yoghurt in there.","Ich weiß, das ist etwas merkwürdig für einen Kühlschrank, stell also deinen Joghurt besser nicht da rein!",,,
9,3,Robot,"The right fridge must be chosen when placing a patient sample in it. For example, a control tube does not fit in the same fridge as a blood tube.","Man muss den richtigen Archivschrank wählen, wenn man eine Patientenprobe archivieren möchte. Zum Beispiel kommt ein Kontrollröhrchen nicht in denselben Kühlschrank wie eine Patienenprobe.",,,
9,4,Robot,"By hovering over the fridges with the mouse, you will get the necessary information: their temperature, but also the type of samples they can hold.","Wenn du mit der Maus über die Kühlschränke fährst, erhältst du die nötigen Informationen: Ihre Temperatur, und welche Proben dort archiviert werden.",,,
9,5,Robot,Let's move on to the offices.,Gehen wir weiter zu den Büros.,,,
9,6,Robot,"Welcome to the archive room. As the name suggests, this is where we will archive and store all the samples we analyse.","Willkommen im Archivraum. Wie der Name schon sagt, werden hier alle Proben, die wir analysieren, archiviert.",,,
9,8,Robot,"Here, push that button on the door to open it.","Hier, drück den Knopf an der Tür, um sie zu öffnen.",,,
10,0,Player,,,,,
10,1,Robot,"Personally, this is my favourite room, I love computers. But at the same time, I am a computer!","Persönlich ist dies mein Lieblingsraum, ich liebe Computer. Aber ich bin ja auch ein Computer!",,,
10,2,Robot,Let me try my old logins.,Lass mich meine alten Logins ausprobieren.,,,
10,3,Robot,"Ah, they're not smart, they haven't renewed the passwords for over 10 years.","Ah, sie haben die Passwörter seit über 10 Jahren nicht erneuert! Gut für mich.",,,
10,4,Robot,"Password: 0000. That's it, I'm connected to the GOV.BLOOD database.","Passwort: 0000. Das war's, ich bin mit der GOV.BLOOD Datenbank verbunden.",,,
10,5,Robot,I'm ordering all the suspect samples to be analysed for the secret service. They will be delivered tomorrow.,"Ich bestelle alle verdächtigen Proben, die für den Geheimdienst analysiert werden sollen. Sie werden morgen geliefert.",,,
10,6,Robot,"And finally, let's visit the dormitory!","Und zum Schluss, gehen wir in den Schlafsaal!",,,
10,7,Robot,"Here, push that button on the door to open it.","Hier, drück den Knopf an der Tür, um sie zu öffnen.",,,
10,8,Robot,This is where you can report test results and enter them into the government database.,Hier kannst du Testergebnisse melden und sie in die Staatsdatenbank eingeben.,,,
11,0,Player,,,,,
11,1,Robot,That's what this place is for.,Dafür ist dieser Ort gedacht.,,,
11,2,Robot,"You put yourself in a horizontal position and close your eyes, at least that's what the old workers in the lab did and it seemed to work...","Man legt sich in eine waagerechte Position und schließt die Augen, zumindest haben das die alten Arbeiter im Labor so gemacht und es schien zu funktionieren...",,,
11,3,Robot,"You have a telephone at your disposal, if you want to call a relative, and a television, if you want to keep up to date with the news.","Man hat ein Telefon zur Verfügung, wenn man einen Verwandten anrufen will, und einen Fernseher, wenn man sich über die Nachrichten auf dem Laufenden halten will.",,,
11,4,Robot,"Unfortunately, they no longer show my favourite show, Robot Chef, in which the robot that cooks best is judged.","Leider wird meine Lieblingssendung Robot Chef nicht mehr gezeigt, in der der Roboter gewinnt, der am besten kocht..",,,
11,5,Robot,"While you rest and get settled, I'll start cleaning the lab.","Während du dich ausruhst, fange ich an, das Labor zu putzen.",,,
11,6,Robot,Good night and see you tomorrow my friend!,"Gute Nacht und bis morgen, mein Freund!",,,
11,7,Robot,"After a good day's work, it seems that you humans need a rest.","Nach einem guten Arbeitstag scheint es, als ob ihr Menschen eine Pause braucht.",,,
11,8,Robot,"Here, push that button on the door to open it.","Hier, drück den Knopf an der Tür, um sie zu öffnen",,,
12,0,Robot,"Stay in your room, I'm shy and I don't like people watching me clean!","Bleib in deinem Zimmer, ich bin schüchtern und mag es nicht, wenn man mir beim Putzen zusieht!",,,
14,0,Player,,,,,
14,6,Player,"Hi little sister, how are you?","Hallo kleine Schwester, wie geht es dir?",,,
14,7,Lilou,[Unintelligible noises].,[Unverständliche Geräusche].,,,
14,8,Lilou,[Unintelligible noises].,[Unverständliche Geräusche].,,,
14,9,Player,Does Auntie look after you well?,Passt unsere Tante gut auf dich auf?,,,
14,10,Player,Kisses and take care of yourself.,"Ich drück dich, pass auf dich auf!",,,
15,0,Robot,,,,,
15,1,Robot,"Stay in your room, I'm shy and I don't like people watching me clean!","Bleib in deinem Zimmer, ich bin schüchtern und mag es nicht, wenn mir jemand beim Putzen zusieht!",,,
16,0,Player,,,,,
16,1,Player,I should call Lilou before I go to sleep,"Ich sollte Lilou anrufen, bevor ich ins Bett gehe",,,
16,2,Player,Let's see the news of the day on TV,Lass uns die Tagesnachrichten im Fernsehen schauen.,,,
16,3,Player,Sleep,Schlafen,,,
17,0,TV,,,,,
17,1,TV,news of the day,Nachrichten des Tages,,,
17,2,TV,"Weather forecast, it will rain over the whole of the Benelux today. The usual seasonal autumnal gusts of 100 to 150 km/h are expected during the afternoon.","Wettervorhersage, heute wird es in den gesamten Beneluxländern regnen. Im Laufe des Nachmittags werden die für den Herbst üblichen Böen von 100 bis 150 km/h erwartet.",,,
17,3,TV,"A haematological programme set up by the European Union to test those who will be selected to work on the Red Planet.""","Ein hämatologisches Programm, das von der Europäischen Union eingerichtet wurde, um diejenigen zu testen, die zunächst auf den Roten Planeten fliegen werden.",,,
18,0,Robot,,,,,
18,1,Robot,"Did you sleep well, princess?","Hast du gut geschlafen, Prinzessin?",,,
18,2,Player,Grmphff…,Grmphff...,,,
18,3,Robot,"I spent the night cleaning the lab, you could almost eat off the floor!","Ich habe die ganze Nacht das Labor geputzt, man konnte fast vom Boden essen!",,,
18,4,Robot,"I'm going to show you how it all works, but I need some blood to analyse and the samples haven't arrived yet.","Ich werde dir zeigen, wie alles funktioniert, aber ich brauche Blut für die Analyse und die Proben sind noch nicht da.",,,
18,5,Robot,I'll take just a little bit if you don't mind.,"Ich nehme dir jetzt ein wenig Blut ab, wenn es dir nichts ausmacht.",,,
18,6,Player,Excuse me!?,Entschuldigung!?,,,
18,7,Robot,"Don't worry it won't be painful, and it will allow me to ask you some questions to check that you are qualified.","Keine Sorge, es wird nicht weh tun und ich kann dir ein paar Fragen stellen, um dein Wissen zu überprüfen.",,,
18,8,Robot,Follow me into the laboratory!,Komm mit ins Labor!,,,
18,9,Player,"All right, I'm coming.","In Ordnung, ich komme.",,,
19,0,TV,,,,,
19,5,TV,News of the day:,Nachrichten des Tages:,,,
19,6,TV,"Another ecological disaster in Germany. A tornado hit the city of Aachen and swept away three bell towers, including that of its famous cathedral.","Wieder eine Umweltkatastrophe in Deutschland. Ein Tornado trifft die Stadt Aachen, unter anderem wird der berühmte Aachener Dom stark beschädigt. ",,,
19,7,TV,The famous businesswoman Judith Balmont pledges one million euros to restore the monument.,Die berüchtigte Geschäftsfrau Edith Balmont sagt eine Million Euro für die Restaurierung des Doms zu.,,,
20,0,Robot,,,,,
20,1,Player,"Don't forget to dress up, it's mandatory in the lab!","Vorsicht, vergiss nicht, die Schutzkleidung anzuziehen, das ist im Labor Pflicht.",,,
21,0,Robot,,,,,
21,1,Robot,"First of all, we need to choose the right tube for our analysis.",Zunächst einmal müssen wir das richtige Blutabnahmeröhrchen für unsere Analyse auswählen. In der Fachsprache werden die Abnahmeröhrchen als Monovetten bezeichnet.  ,,,
21,2,Robot,"Here we will do a haematological analysis to count your blood cells, CBC for short.","Hier machen wir eine hämatologische Analyse, um deine Blutzellen zu zählen, ein so genanntes Blutbild, kurz auch CBC (cell blood count).",,,
21,3,Robot,"This means that a blood test will be done to measure red and white blood cells, but also your blood platelets.","Das bedeutet, dass eine Blutuntersuchung durchgeführt wird, um die roten und weißen Blutkörperchen und deine Blutplättchen zu messen.",,,
21,4,Robot,"Choose the right tube on the table, you can help yourself with the poster/manual.","Wähle die richtige Monovette auf dem Tisch, dabei hilft dir das Poster/Handbuch.   ",,,
21,5,Robot,This is a tube containing EDTA (Ethylen-Diamin-Tetra-Acetate) fluid.,Dies ist ein Röhrchen mit EDTA-Flüssigkeit (Ethylen-Diamin-Tetra-Acetat).,,,
21,6,Robot,"This fluid stabilises the blood cells and prevents the blood from clotting, which is necessary for our CBC analysis.","Diese Flüssigkeit stabilisiert die Blutzellen und verhindert, dass das Blut gerinnt, was für unsere CBC-Analyse notwendig ist",,,
21,7,Robot,I'll tell you how I operate now.,"Ich sage dir jetzt, wie ich die Blutabnahme durchführen werde.",,,
21,8,Robot,"After clearing your arm, I disinfect the area of the sting.",Zunächst desinfiziere ich die Einstichstelle.,,,
21,9,Robot,I tie the tourniquet.,Ich befestige die Staubinde am Oberarm.  ,,,
21,10,Robot,I insert the needle and fill the sample.,Ich führe die Punktionsnadel in die Vene ein und fülle die Monovette mit Blut.  ,,,
21,11,Robot,I release the tourniquet.,Ich löse die Staubinde.,,,
21,12,Robot,I take the needle out.,Ich drücke den Tupfer vorsichtig auf die Einstichstelle und ziehe dann die Nadel heraus.,,,
21,13,Robot,And there you have it. Now I gently swirl the tube to avoid coagulation.,"Jetzt bekommst du noch ein Pflaster und das wars. Die Monovette muss jetzt vorsichtig geschwenkt werden, damit das Blut nicht gerinnt.",,,
21,14,Robot,"You see it wasn't so bad, now I'm going to ask you some questions about what you saw.","Siehst du, es war gar nicht so schlimm, jetzt werde ich dir ein paar Fragen stellen.",,,
21,15,Robot,That's the one.,Das ist die richtige.,,,
21,16,Robot,"This is not the right tube, it was the one with the purple cap.","Das ist nicht das richtige Röhrchen, es war das mit der lila Kappe.",,,
22,0,Robot,,,,,
22,1,Robot,\>What equipement is necessary for blood taking (9 answers expected)?,\>Welche Ausrüstung ist für die Blutentnahme notwendig (9 Antworten erwartet)?,,,
22,2,Quizz,Gloves,Handschuhe,,,
22,3,Quizz,Desinfectant,Desinfektionsmittel,,,
22,4,Quizz,Single use butterfly needle,Butterfly (Blutabnahmenadel),,,
22,5,Quizz,Tourniquet,Staubinde,,,
22,6,Quizz,Swab,Tupfer,,,
22,7,Quizz,Sample tubes,Monovette,,,
22,8,Quizz,Trash bin,Abfallbehälter,,,
22,9,Quizz,Labels,Etiketten,,,
22,10,Quizz,Plaster,Pflaster,,,
22,11,Quizz,NaCl (salt),NaCl (Salz),,,
22,12,Quizz,Chronometer,Chronometer,,,
22,15,Quizz,[em3]Gloves,[em3]Handschuhe,,,
22,16,Quizz,[em3]Desinfectant,[em3]Desinfektionsmittel,,,
22,17,Quizz,[em3]Single use butterfly needle,[em3] Butterfly (Blutabnahmenadel),,,
22,18,Quizz,[em3]Tourniquet,[em3]Staubinde,,,
22,19,Quizz,[em3]Swab,[em3]Tupfer,,,
22,20,Quizz,[em3]Sample tubes,[em3]Monovette,,,
22,21,Quizz,[em3]Trash bin,[em3] Abfallbehälter,,,
22,22,Quizz,[em3]Labels,[em3]Etiketten,,,
22,23,Quizz,[em3]Bandage,[em3]Pflaster,,,
22,24,Quizz,[em3]NaCl (salt),[em3]NaCl (Salz),,,
22,25,Quizz,[em3]Chronometer,[em3]Chronometer,,,
22,26,Quizz,[em4]Validate,[em4]Bestätigen,,,
22,27,Robot,Wrong answers sorry,"Falsche Antworten, sorry!",,,
22,28,Robot,Good job!,Good job!,,,
22,29,Robot,,,,,
23,0,Robot,,,,,
23,1,Robot,\>What is the correct sequence for a blood test?,\>Was ist die richtige Reihenfolge bei der Blutentnahme?,,,
23,27,Robot,Wrong answers sorry,"Falsche Antworten, sorry!",,,
23,28,Robot,Good job!,Good job!,,,
23,29,Robot,,,,,
23,31,Quizz,Disinfect,Desinfizieren,,,
23,32,Quizz,Tying the tourniquet,Anlegen der Staubinde ,,,
23,33,Quizz,Filling the sample,Befüllen der Probe,,,
23,34,Quizz,Release the tourniquet,Lösen der Staubinde,,,
23,35,Quizz,Withdraw the needle,Entfernung der Nadel ,,,
24,0,Robot,,,,,
24,1,Robot,\>Some sample tubes contain additives to prevent clotting. What is the additive for a CBC analysis (1 answer expected)?\n,"\>Einige Probenröhrchen enthalten Zusätze, die die Gerinnung verhindern. Welcher Zusatzstoff wird in der Regel für eine CBC-Analyse verwendet?  ",,,
24,2,Quizz,Citrate,Citrat,,,
24,3,Quizz,Heparin,Heparin,,,
24,4,Quizz,EDTA,EDTA,,,
24,5,Quizz,NaCl,NaCl,,,
24,15,Quizz,[em3]Citrate,[em3]Citrat,,,
24,16,Quizz,[em3]Heparin,[em3]Heparin,,,
24,17,Quizz,[em3]EDTA,[em3]EDTA,,,
24,18,Quizz,[em3]NaCl,[em3]NaCl,,,
24,26,Quizz,[em4]Validate,[em4]Validieren,,,
24,27,Robot,Wrong answers sorry,"Falsche Antwort, sorry!",,,
24,28,Robot,Good job !,Good job!,,,
24,29,Quizz,Ethanol,Ethanol,,,
24,30,Quizz,[em3]Ethanol,[em3]Ethanol,,,
24,31,Robot,,,,,
25,0,Robot,,,,,
25,1,Robot,\>What cells do we find in human blood (3 answers expected)?,\>Welche Zellen finden wir im menschlichen Blut (3 Antworten erwartet)?,,,
25,2,Quizz,Astrocytes,Astrozyten,,,
25,3,Quizz,Blue blood cells,Blaue Blutkörperchen,,,
25,4,Quizz,Platelets,Blutplättchen,,,
25,5,Quizz,Red blood cells,Rote Blutkörperchen,,,
25,15,Quizz,[em3]Astrocytes,[em3]Astrozyten,,,
25,16,Quizz,[em3]Blue blood cells,[em3]Blaue Blutkörperchen,,,
25,17,Quizz,[em3]Platelets,[em3]Blutplättchen,,,
25,18,Quizz,[em3]Red blood cells,[em3]Rote Blutkörperchen,,,
25,26,Quizz,[em4]Validate,[em4]Bestätigen,,,
25,27,Robot,Wrong answers sorry,"Falsche Antworten, sorry!",,,
25,28,Robot,Good job!,Good job!,,,
25,29,Quizz,White blood cells,Weiße Blutkörperchen,,,
25,30,Quizz,[em3]White blood cells,[em3]Weiße Blutkörperchen,,,
25,31,Robot,,,,,
26,0,Robot,,,,,
26,1,Robot,"\>Just before performing the CBC analysis, the EDTA tube should be gently mixed several times, true or false?","\>Unmittelbar vor der Durchführung der CBC-Analyse sollte das EDTA-Röhrchen mehrmals vorsichtig gemischt werden, richtig oder falsch?",,,
26,26,Quizz,True,Richtig,,,
26,27,Robot,Wrong answers sorry,"Falsche Antworten, sorry!",,,
26,28,Robot,Good job !,Good job!,,,
26,29,Quizz,False,Falsch,,,
26,30,Robot,,,,,
27,0,Robot,,,,,
27,1,Robot,"Alright, we'll move on to the automaton.","In Ordnung, wir machen weiter mit dem Automaten",,,
27,2,Robot,"First of all, the automaton must be well prepared.",Zu allererst muss die Probe gut vorbereitet sein.,,,
27,3,Robot,Check reagent levels on the screen and i'll give you the control sample.,Überprüfe den Reagenzienstand auf dem Bildschirm und ich gebe dir die Kontrollprobe.,,,
27,4,Robot,"Here is the control sample, place it on the automaton rack and launch the control process","Hier ist die Kontrollprobe, stell sie auf das Gestell und starte die Kontrollmessung.",,,
27,5,Robot,Now replace the control sample with the blood sample,Nimm die Kontrollprobe heraus und stelle nun die Patientenprobe ins Gerät.,,,
27,6,Robot,Now you can start the CBC analysis,Jetzt kannst du die CBC-Analyse starten.,,,
27,7,Robot,You can check the results on the screen next to it in the Analysis tab,"Wenn die Analyse beendet ist, kannst du die Ergebnisse auf dem Bildschirm im Reiter Analysis daneben sehen.",,,
27,8,Robot,"Everything seems to be in order, none of the parameters are outside the normal values, they would be displayed in red if they were.","Alles ist in Ordnung, keiner der Parameter liegt außerhalb des Normbereichs. Die Ergebnisse würden sonst in rot angezeigt werden.",,,
27,9,Robot,"Before we finish, I have one more question for you.","Bevor wir fertig sind, habe ich noch eine Frage an dich.",,,
27,10,Robot,"I've retrieved the sample from the automaton, here take it.","Ich habe die Probe aus dem Automaten geholt, hier nimm sie.",,,
28,0,Robot,,,,,
28,32,Robot,\>What is the role of haemoglobin in human red blood cells (1 answer expected)?,\>Welche Aufgabe hat das Hämoglobin in den roten Blutkörperchen des Menschen (1 Antworten erwartet)?,,,
28,33,Quizz,Immunosuppression,Unterdrückung des Immunsystems,,,
28,34,Quizz,Oxygen supply,Versorgung des Körpers mit Sauerstoff,,,
28,35,Quizz,Starting coagulation,Start des Gerinnungsprozesses,,,
28,36,Quizz,Prevent blood vessels from calcifying,Verhinderung der Verkalkung von Blutgefäßen,,,
28,37,Quizz,[em3]Immunosuppression,[em3]Unterdrückung des Immunsystems,,,
28,38,Quizz,[em3]Oxygen supply,[em3]Versorgung des Körpers mit Sauerstoff,,,
28,39,Quizz,[em3]Starting coagulation,[em3]Start des Gerinnungsprozesses,,,
28,40,Quizz,[em3]Prevent blood vessels from calcifying,[em3]Verhinderung der Verkalkung von Blutgefäßen,,,
28,41,Quizz,[em4]Validate,[em4]Bestätigen,,,
28,42,Robot,Wrong answers sorry,"Falsche Antworten, sorry!",,,
28,43,Robot,Good job !,Good job!,,,
28,44,Quizz,Hydrogen bonding,Bildung von Wasserstoffbrückenbindungen,,,
28,45,Quizz,[em3]Hydrogen bonding,[em3]Wasserstoffbrückenbindungen,,,
28,46,Robot,,,,,
29,0,Robot,,,,,
29,1,Robot,"Good, you have done a good job, all that is left to do is to archive the blood sample and control sample.","Ausgezeichnete Arbeit! Lass uns in die Büros gehen, um die Regierung über die Ergebnisse der Analyse zu informieren. ",,,
29,2,Robot,Follow me!,Komm mit!,Over here !,,
29,3,Robot,You can put the blood sample into the left fridge and the control sample into the right fridge.,Du kannst die Patientenprobe in den linken Kühlschrank legen und die Kontrollprobe in den rechten Kühlschrank.,,,
29,4,Robot,Excellent work!,Ausgezeichnete Arbeit!,,,
29,5,Robot,"The samples should arrive in 2 hours, you can go and rest in your room until then, I will come and get you.","Die Proben sollten in 2 Stunden ankommen, bis dahin kannst du dich in deinem Zimmer ausruhen, ich werde dich später abholen.",,,
29,6,Robot,Don't forget to put back your PPE in the locker !,"Vergiss nicht, deine PSA wieder in den Spind zu legen!",,,
30,0,Robot,,,,,
30,4,Player,Sleep,Schlafen,,,
30,5,Player,Let's look at today's TV news,Schauen wir uns die heutigen Fernsehnachrichten an.,,,
30,6,Player,I need to put back my PPE in the locker before sleeping.,Ich muss vor dem Schlafengehen meine PSA in den Spind zurücklegen.,,,
31,0,Robot,,,,,
31,1,Robot,Did you sleep well?,Hast du gut geschlafen?,,,
31,2,Player,Grmphff...,Grmphff...,,,
31,3,Robot,We have just received our first suspect sample.,Wir haben gerade unsere erste verdächtige Probe erhalten.,,,
31,4,Robot,"The European government is sending it to us, because it comes from the Luttastricht laboratory, which is apparently under the control of the mafia.","Die europäische Regierung schickt sie zu uns, weil sie aus dem Labor in Luttastricht stammt, das offenbar von der Mafia kontrolliert wird. ",,,
31,5,Robot,They would like us to do a new haematological analysis.,"Sie möchten, dass wir eine neue hämatologische Analyse durchführen.",,,
31,6,Player,"Ok, I'm coming, just time to wake up!","Ok, ich komme, ich brauche aber ein bisschen Zeit!",,,
31,7,Robot,"Don't dawdle, we have work to do. And don't forget your labcoat, I'm waiting for you in the reception room..","Nicht trödeln, wir haben zu tun. Und vergiss nicht dich umzuziehen, ich warte in der Probenannahme auf dich...  ",,,
31,8,Player,"All right, I'm coming.","In Ordnung, ich komme gleich.",,,
32,0,Robot,,,,,
32,1,Robot,"Be careful, don't forget to put your labcoat on, it's compulsory in the lab!","Pass auf, vergiss nicht, deine Schutzkleidung anzuziehen, die ist im Labor Pflicht!",,,
33,0,Robot,,,,,
33,1,Robot,"Here, take the sample on the counter",Nimm die Probe von der Ablage.,,,
33,2,Robot,"This is the sample of Bernie Russo. According to the information in my database, he is a 35-year-old man who wants to go to Mars to work in construction.","Dies ist die Probe von Bernie Russo. Nach den Informationen in meiner Datenbank handelt es sich um einen 35-jährigen Mann, der zum Mars reisen möchte, um dort im Baugewerbe zu arbeiten.",,,
33,3,Player,Why might the sample be falsified?,Warum sollten die Ergebnisse gefälscht sein?,,,
33,4,Robot,"As I told you, it comes from a suspected laboratory.","Wie du bereits weißt, stammt die Probe aus einem verdächtigen Labor.",,,
33,5,Robot,"Moreover, Mr Russo is said to be the personal driver of Edith Balmont, the woman suspected by the secret service of being the head of the local mafia.","Außerdem soll Herr Russo der persönliche Fahrer von Edith Balmont sein, der Frau, die vom Geheimdienst verdächtigt wird, die Chefin der örtlichen Mafia zu sein.",,,
33,6,Robot,"In order to ensure its suitability for use, we will need to perform a haematological analysis and check its haemoglobin level.","Um sicherzustellen, dass er für diesen Job geeignet ist, müssen wir eine hämatologische Analyse durchführen und den Hämoglobinwert überprüfen.",,,
33,7,Robot,"This is a measurement of the red blood cells in your blood, which carry oxygen from your lungs to your organs.","Der Hämoglobinwert ist ein Maß für die Menge des roten Blutfarbstoffs in den roten Blutkörperchen, die den Sauerstoff von der Lunge zu den Organen transportieren. ",,,
33,8,Robot,"If you have a low hemoglobin level you often feel tired and exhausted. For example, cyclists who use EPO increase their haemoglobin levels to improve their performance.","Wenn du einen zu niedrigen Hämoglobinwert hast, fühlst du dich häufig müde und erschöpft. Zum Beispiel erhöhen Radfahrer, die EPO verwenden, so ihren Hämoglobinspiegel, um ihre Leistung zu verbessern.",,,
33,9,Robot,"I talk too much, I know I'm a chatty robot but I haven't talked to anyone in 10 years! Let's go to the lab for the analysis.","Ich rede zu viel, ich weiß, ich bin eine Plaudertasche, aber ich habe seit 10 Jahren mit niemandem mehr gesprochen! Lass uns zur Analyse ins Labor gehen.",,,
33,10,Robot,Now scan the sample barcode by dragging it on the scanner screen !,"Scanne jetzt den Barcode der Probe, indem du ihn auf den Bildschirm des Scanners ziehst!",,,
33,11,Robot,Then click the screen to see information about the sample.,"Klicke dann auf den Bildschirm, um Informationen über die Probe zu erhalten.",,,
34,0,Robot,,,,,
34,1,Robot,"Before starting the analysis in the automaton, the tube must be prepared.","Bevor du die Analyse im Automaten startest, muss das Röhrchen vorbereitet werden.",,,
